大白菜,1.3,2.0,1.65,鲁云,,斤,2022-04-05 00:00:00
娃娃菜,1.6,2.0,1.8,冀豫云,大,斤,2022-04-05 00:00:00
小白菜,1.5,2.0,1.75,冀,,斤,2022-04-05 00:00:00
圆白菜,1.7,1.8,1.75,冀鲁,暄,斤,2022-04-05 00:00:00
圆白菜,0.7,1.4,1.05,鄂川苏,露地,斤,2022-04-05 00:00:00
紫甘蓝,1.1,1.2,1.15,滇,,斤,2022-04-05 00:00:00
芹菜,2.2,2.5,2.35,鲁冀津,,斤,2022-04-05 00:00:00
西芹,2.5,2.9,2.7,豫辽,,斤,2022-04-05 00:00:00
菠菜,1.2,1.8,1.5,冀鲁,长杆\短杆,斤,2022-04-05 00:00:00
莴笋,1.5,2.4,1.95,浙鲁皖津,,斤,2022-04-05 00:00:00
团生菜,1.3,2.5,1.9,云京冀,白球\净,斤,2022-04-05 00:00:00
散叶生菜,2.5,3.5,3.0,冀辽,毛\净,斤,2022-04-05 00:00:00
罗马生菜,3.5,3.6,3.55,冀滇,,斤,2022-04-05 00:00:00
油菜,1.5,2.5,2.0,冀鲁沪,,斤,2022-04-05 00:00:00
香菜,1.5,2.5,2.0,冀鲁豫,,斤,2022-04-05 00:00:00
茴香,2.5,3.0,2.75,冀,,斤,2022-04-05 00:00:00
韭菜,2.0,2.5,2.25,冀晋,,斤,2022-04-05 00:00:00
苦菊,2.0,3.3,2.65,冀辽,,斤,2022-04-05 00:00:00
油麦菜,1.5,2.8,2.15,云冀,,斤,2022-04-05 00:00:00
菜花,2.0,2.2,2.1,鄂云,,斤,2022-04-05 00:00:00
