热搜指数,电影名,类型,演员
 26941 ,  长津湖之水门桥 ,剧情 ,段奕宏、易烊千玺 
 25527 ,  奇异博士2：疯狂多元宇宙 ,惊悚、科幻 ,本尼迪克特·康伯巴奇、瑞秋·麦克亚当斯 
 11281 ,  泰坦尼克号 ,剧情、爱情 ,莱昂纳多·迪卡普里奥、凯特·温丝莱特 
 10978 ,  这个杀手不太冷静 ,剧情、喜剧 ,陈明昊、魏翔 
 10213 ,  我和我的祖国 ,剧情 ,黄渤、张译 
 7875 ,  神奇动物在哪里 ,剧情 ,凯瑟琳·沃特斯顿、艾莉森·苏朵儿 
 6862 ,  怦然心动 ,剧情、喜剧 ,瑞贝卡·德·莫妮、卡兰·麦克奥利菲 
 6646 ,  阿凡达1 ,科幻、动作 ,佐伊·索尔达娜、西格妮·韦弗 
 6349 ,  送你一朵小红花 ,剧情、爱情 ,易烊千玺、朱媛媛 
 6245 ,  绿皮书 ,剧情 ,马赫沙拉·阿里、维果·莫特森 
 6168 ,  爱丽丝梦游仙境 ,剧情 ,米娅·华希科沃斯卡、约翰尼·德普 
 5325 ,  美女与野兽 ,爱情 ,艾玛·沃特森、丹·史蒂文斯 
 5217 ,  倚天屠龙记之九阳神功 ,动作 ,林峰、云千千 
 5066 ,  东北告别天团 ,剧情 ,崔志佳、张琪 
 5023 ,  星际穿越 ,剧情、科幻 ,安妮·海瑟薇、马修·麦康纳 
 4977 ,  神秘海域 ,动作 ,汤姆·赫兰德、马克·沃尔伯格 
 4932 ,  你好，李焕英 ,剧情、喜剧 ,张小斐、贾玲 
 4449 ,  神奇动物在哪里2:格林德沃之罪 ,剧情 ,凯瑟琳·沃特斯顿、埃迪·雷德梅恩 
 4408 ,  奇迹·笨小孩 ,剧情 ,易烊千玺、田雨 
 4110 ,  误杀2 ,剧情、犯罪 ,文咏珊、任达华 
 3804 ,  花木兰 ,剧情 ,巩俐、甄子丹 
 3784 ,  海上钢琴师 ,剧情、爱情 ,比尔·努恩、蒂姆·罗斯 
 3767 ,  奇异博士 ,动作 ,本尼迪克特·康伯巴奇、蒂尔达·斯文顿 
 3651 ,  女教师 ,剧情 ,苏珊娜·莫拉利、琼戈尔·考绍伊 
 3540 ,  山楂树之恋 ,剧情、爱情 ,奚美娟、周冬雨 
 3457 ,  疯狂动物城 ,喜剧、动画 ,金妮弗·古德温、杰森·贝特曼 
 3150 ,  我和我的父辈 ,剧情 ,徐峥、吴京 
 3082 ,  致命弯道 ,惊悚、恐怖 ,马修·莫迪恩、阿丹·布拉德利 
 3066 ,  让子弹飞 ,剧情、喜剧 ,姜文、葛优 
 3048 ,  扬名立万 ,剧情 ,喻恩泰、尹正 
