项目,行业领域,业务,地区,投资轮次,投资金额,投资时间
心识宇宙,人工智能,数字心识智能系统研发商,浙江省,天使+,数千万人民币,2022.11.10
Rokid,VR/AR,AR/MR眼镜研发商,浙江省,D轮,2.59亿人民币,2022.11.08
大毛牛,先进制造,超低密高分子物理发泡新材料企业,江苏省,B轮,1.2亿人民币,2022.11.10
FTX,区块链,加密货币衍生品交易所,,B+轮,4.2亿美元,2021.10.21
脉络能源,能源电力,钙钛矿光伏电池研发商,广东省,天使轮,未披露,2022.11.09
速腾聚创,生产制造,智能激光雷达系统开发商,广东省,战略融资,未披露,2022.11.11
埃泰克,汽车交通,汽车电子产品制造商,安徽省,C轮,超5亿人民币,2022.11.08
尚阳通,生产制造,高端半导体功率器件设计商,广东省,Pre-IPO,未披露,2022.11.09
宝晟能源科技,先进制造,电极设备制造商,江苏省,天使轮,未披露,2022.11.11
士泽生物,医疗健康,干细胞治疗方案提供商,江苏省,A轮,超2亿人民币,2022.11.08
迦进生物,医疗健康,小核酸偶联药物开发商,上海市,天使轮,4500万人民币,2022.11.09
禾多科技,汽车交通,自动驾驶解决方案提供商,北京市,C+轮,数亿人民币,2022.11.11
晖阳新能源,生产制造,锂离子电池负极材料研发商,贵州省,战略融资,2亿人民币,2022.07.01
山海新能,能源电力,新能源科技解决方案提供商,北京市,A+轮,数千万人民币,2022.11.10
海辰储能,生产制造,锂电池及磷酸铁锂储能电池研发企业,福建省,B轮,超20亿人民币,2022.10.18
拓烯科技,生产制造,高性能聚合物光学材料制造专家,浙江省,A轮,未披露,2022.03.30
天目先导,生产制造,锂离子电池新型硅负极材料研发商,江苏省,B轮,未披露,2022.10.28
尊湃通讯,硬科技,高端芯片设计商,上海市,Pre-A+轮,未披露,2022.11.11
嘉泰新能,能源电力,压缩气体储能系统研发商,北京市,天使轮,数千万人民币,2022.11.07
TENWAYS,汽车交通,电动自行车研发销售商,广东省,A轮,未披露,2022.11.07
君联资本,金融,创业投资机构,北京市,股权融资,未披露,2015.09.29
芯钛科技,汽车交通,汽车芯片设计公司,上海市,B+轮,1.8亿人民币,2022.11.11
中科创星,企业服务,创业投资孵化平台,陕西省,A轮,未披露,2016.03.01
摇橹船科技,人工智能,工业相机研发商,重庆市,Pre-A轮,未披露,2022.11.11
作为科技,先进制造,智能护理机器人研发商,广东省,A轮,数千万人民币,2022.11.03
中科汇珠,生产制造,SiC外延材料研发及生产商,广东省,天使轮,未披露,2022.11.11
四象科技,大数据,遥感卫星服务商,北京市,A轮,数千万人民币,2022.11.11
中科海钠,生产制造,钠离子电池研发商,北京市,A+轮,未披露,2022.04.01
Nreal,VR/AR,AR/MR眼镜研发商,广东省,战略融资,1500万美元,2022.08.26
Momenta,人工智能,无人驾驶系统研发商,北京市,C+轮,超5亿美元,2021.11.04
跨越星空,工具软件,面向场景搜索引擎公司,北京市,天使轮,未披露,2021.12.03
沛岱汽车,汽车交通,自动驾驶系统开发商,浙江省,Pre-A轮,数千万人民币,2022.02.25
畅行智驾,人工智能,智能驾驶技术研发商,江苏省,天使+,未披露,2022.11.08
徕芬科技,生产制造,高速吹风机生产商,广东省,天使轮,未披露,2022.01.25
钟鼎资本,金融,产业投资服务提供商,上海市,,,
江行智能,物联网,物联网边缘计算产品与服务提供商,江苏省,Pre-B轮,1.5亿人民币,2022.11.02
博将资本,金融,股权投资机构,上海市,,,
卫蓝新能源,生产制造,固态锂电池研发商,北京市,D轮,近15亿人民币,2022.11.04
BrainCo,硬件,脑机接口技术及产品研发商,北京市,A轮,未披露,2019.01.09
小冰公司,人工智能,跨平台人工智能机器人,北京市,A+轮,10亿人民币,2022.11.07
